




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (331)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
anatomical structure morphogenesis (GO:0009653)	2234	76	35.93	+	2.12	1.80E-10	1.62E-07
cell activation (GO:0001775)	735	25	11.82	+	2.11	4.49E-04	2.44E-02
negative regulation of programmed cell death (GO:0043069)	918	31	14.76	+	2.10	1.20E-04	8.85E-03
monoatomic ion transport (GO:0006811)	986	33	15.86	+	2.08	7.20E-05	5.75E-03
regulation of transport (GO:0051049)	1610	53	25.89	+	2.05	7.41E-07	1.24E-04
response to lipid (GO:0033993)	852	28	13.70	+	2.04	3.85E-04	2.17E-02
regulation of protein phosphorylation (GO:0001932)	913	30	14.68	+	2.04	2.16E-04	1.41E-02
positive regulation of catalytic activity (GO:0043085)	883	29	14.20	+	2.04	2.89E-04	1.76E-02
positive regulation of protein modification process (GO:0031401)	763	25	12.27	+	2.04	9.74E-04	4.33E-02
intracellular signal transduction (GO:0035556)	1509	49	24.27	+	2.02	3.15E-06	4.40E-04
tissue development (GO:0009888)	1762	57	28.34	+	2.01	4.43E-07	7.95E-05
regulation of phosphate metabolic process (GO:0019220)	1149	37	18.48	+	2.00	5.44E-05	4.63E-03
regulation of phosphorus metabolic process (GO:0051174)	1150	37	18.50	+	2.00	5.52E-05	4.67E-03
regulation of developmental process (GO:0050793)	2442	78	39.28	+	1.99	1.85E-09	9.09E-07
epithelium development (GO:0060429)	1104	35	17.76	+	1.97	1.73E-04	1.19E-02
regulation of biological quality (GO:0065008)	2842	90	45.71	+	1.97	1.02E-10	1.11E-07
regulation of localization (GO:0032879)	2021	64	32.50	+	1.97	1.15E-07	2.71E-05
regulation of cell communication (GO:0010646)	3435	108	55.25	+	1.95	9.48E-13	2.89E-09
regulation of cell differentiation (GO:0045595)	1562	49	25.12	+	1.95	7.75E-06	9.45E-04
transmembrane transport (GO:0055085)	1244	39	20.01	+	1.95	6.21E-05	5.09E-03
regulation of phosphorylation (GO:0042325)	989	31	15.91	+	1.95	3.89E-04	2.18E-02
regulation of catabolic process (GO:0009894)	1021	32	16.42	+	1.95	3.00E-04	1.81E-02
positive regulation of cellular component organization (GO:0051130)	1118	35	17.98	+	1.95	1.90E-04	1.30E-02
regulation of signaling (GO:0023051)	3429	107	55.15	+	1.94	1.75E-12	4.44E-09
positive regulation of immune system process (GO:0002684)	997	31	16.04	+	1.93	4.28E-04	2.35E-02
regulation of response to stress (GO:0080134)	1355	42	21.79	+	1.93	4.43E-05	4.04E-03
regulation of protein modification process (GO:0031399)	1229	38	19.77	+	1.92	1.42E-04	1.01E-02
cell surface receptor signaling pathway (GO:0007166)	2076	64	33.39	+	1.92	2.95E-07	5.55E-05
regulation of signal transduction (GO:0009966)	3018	93	48.54	+	1.92	1.90E-10	1.61E-07
negative regulation of developmental process (GO:0051093)	915	28	14.72	+	1.90	1.09E-03	4.67E-02
regulation of catalytic activity (GO:0050790)	1407	43	22.63	+	1.90	5.92E-05	4.93E-03
positive regulation of gene expression (GO:0010628)	1178	36	18.95	+	1.90	2.77E-04	1.72E-02
cellular response to organic substance (GO:0071310)	1724	52	27.73	+	1.88	1.27E-05	1.45E-03
response to organic substance (GO:0010033)	2465	74	39.65	+	1.87	8.17E-08	2.04E-05
phosphorus metabolic process (GO:0006793)	1733	52	27.87	+	1.87	1.33E-05	1.48E-03
positive regulation of protein metabolic process (GO:0051247)	1243	37	19.99	+	1.85	2.77E-04	1.72E-02
regulation of response to stimulus (GO:0048583)	3976	118	63.95	+	1.85	2.46E-12	5.36E-09
positive regulation of response to stimulus (GO:0048584)	2237	66	35.98	+	1.83	1.09E-06	1.72E-04
cellular response to chemical stimulus (GO:0070887)	2385	70	38.36	+	1.82	5.62E-07	9.84E-05
regulation of immune system process (GO:0002682)	1537	45	24.72	+	1.82	8.37E-05	6.47E-03
cellular catabolic process (GO:0044248)	1130	33	18.17	+	1.82	9.05E-04	4.09E-02
positive regulation of cell communication (GO:0010647)	1752	51	28.18	+	1.81	3.71E-05	3.53E-03
positive regulation of signaling (GO:0023056)	1754	51	28.21	+	1.81	3.75E-05	3.53E-03
phosphate-containing compound metabolic process (GO:0006796)	1707	49	27.45	+	1.78	7.33E-05	5.82E-03
regulation of cellular component organization (GO:0051128)	2441	70	39.26	+	1.78	1.21E-06	1.90E-04
animal organ development (GO:0048513)	2863	82	46.05	+	1.78	1.32E-07	2.93E-05
regulation of programmed cell death (GO:0043067)	1518	43	24.41	+	1.76	2.74E-04	1.71E-02
multicellular organism development (GO:0007275)	3957	110	63.64	+	1.73	1.37E-09	7.19E-07
system process (GO:0003008)	2095	58	33.70	+	1.72	4.57E-05	4.13E-03
system development (GO:0048731)	3541	98	56.95	+	1.72	2.46E-08	7.80E-06
regulation of intracellular signal transduction (GO:1902531)	1780	48	28.63	+	1.68	3.57E-04	2.06E-02
negative regulation of cellular process (GO:0048523)	4833	130	77.73	+	1.67	1.31E-10	1.33E-07
positive regulation of signal transduction (GO:0009967)	1567	42	25.20	+	1.67	1.09E-03	4.68E-02
regulation of protein metabolic process (GO:0051246)	2143	57	34.47	+	1.65	1.27E-04	9.29E-03
response to chemical (GO:0042221)	3765	100	60.55	+	1.65	1.24E-07	2.86E-05
negative regulation of biological process (GO:0048519)	5193	136	83.52	+	1.63	2.45E-10	1.78E-07
response to stress (GO:0006950)	3413	89	54.89	+	1.62	2.16E-06	3.23E-04
response to external stimulus (GO:0009605)	2287	59	36.78	+	1.60	2.68E-04	1.69E-02
anatomical structure development (GO:0048856)	5216	134	83.89	+	1.60	1.40E-09	7.11E-07
cell development (GO:0048468)	2236	57	35.96	+	1.58	4.68E-04	2.48E-02
regulation of molecular function (GO:0065009)	2002	51	32.20	+	1.58	9.83E-04	4.34E-02
transport (GO:0006810)	3655	93	58.79	+	1.58	2.91E-06	4.15E-04
cellular developmental process (GO:0048869)	3646	92	58.64	+	1.57	5.72E-06	7.39E-04
cell communication (GO:0007154)	5242	132	84.31	+	1.57	7.49E-09	2.85E-06
signal transduction (GO:0007165)	4769	120	76.70	+	1.56	7.90E-08	2.01E-05
signaling (GO:0023052)	5089	128	81.85	+	1.56	1.69E-08	5.61E-06
cell differentiation (GO:0030154)	3643	91	58.59	+	1.55	8.32E-06	1.01E-03
negative regulation of metabolic process (GO:0009892)	2820	70	45.36	+	1.54	1.90E-04	1.30E-02
developmental process (GO:0032502)	5723	141	92.05	+	1.53	6.45E-09	2.59E-06
negative regulation of cellular metabolic process (GO:0031324)	2564	63	41.24	+	1.53	5.45E-04	2.80E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3400	83	54.68	+	1.52	6.87E-05	5.54E-03
establishment of localization (GO:0051234)	3924	94	63.11	+	1.49	3.83E-05	3.58E-03
positive regulation of cellular process (GO:0048522)	5686	135	91.45	+	1.48	2.20E-07	4.52E-05
positive regulation of cellular metabolic process (GO:0031325)	3328	79	53.53	+	1.48	2.81E-04	1.73E-02
multicellular organismal process (GO:0032501)	6721	159	108.10	+	1.47	5.28E-09	2.24E-06
positive regulation of biological process (GO:0048518)	6186	146	99.49	+	1.47	5.94E-08	1.56E-05
localization (GO:0051179)	4492	106	72.25	+	1.47	1.57E-05	1.69E-03
cellular response to stimulus (GO:0051716)	6422	151	103.29	+	1.46	3.05E-08	8.95E-06
positive regulation of metabolic process (GO:0009893)	3706	87	59.61	+	1.46	1.65E-04	1.16E-02
response to stimulus (GO:0050896)	8143	182	130.97	+	1.39	1.17E-08	4.25E-06
regulation of biological process (GO:0050789)	11661	246	187.55	+	1.31	2.57E-11	3.91E-08
regulation of cellular process (GO:0050794)	11106	234	178.62	+	1.31	4.73E-10	2.67E-07
regulation of metabolic process (GO:0019222)	6526	137	104.96	+	1.31	2.12E-04	1.39E-02
biological regulation (GO:0065007)	12079	251	194.27	+	1.29	6.17E-11	7.84E-08
cellular process (GO:0009987)	14881	284	239.34	+	1.19	6.04E-09	2.49E-06
biological_process (GO:0008150)	17695	314	284.60	+	1.10	2.36E-07	4.80E-05
Unclassified (UNCLASSIFIED)	2885	17	46.40	-	.37	2.36E-07	4.74E-05
